
10257		 pune		 mumbai		 Jayanti-Janta		 106.000000		 10.050000		 23.450001		 8
55558		 goa		 pune		 Garib-Rath		 123.000000		 12.560000		 01.000000		 8
10239		 delhi		 assam		 Sahyadri		 102.000000		 12.360000		 23.150000		 13
10644		 pune		 delhi		 Indrayani		 506.000000		 15.240000		 16.000000		 48
26455		 mumbai		 pune		 Intercity		 100.000000		 23.010000		 09.000000		 10
29829		 nashik		 nagpur		 Gangaur		 120.320000		 13.050000		 08.560000		 15
11111		 mumbai		 pune		 Nagaonm		 102.000000		 12.100000		 23.100000		 12
15482		 delhi		 nagpur		 Amarnath		 560.979980		 20.450001		 01.320000		 50
64853		 assam		 delhi		 Suburban		 106.000000		 21.049999		 03.450001		 21
24567		 delhi		 pune		 Superfast		 986.000000		 11.050000		 21.450001		 32
85948		 nasik		 pune		 Suvidha		 766.000000		 10.050000		 03.450001		 9
51439		 nagpur		 bangl		 Antyodaya		 666.000000		 10.050000		 15.450001		 32
58911		 mumbai		 assam		 Jan-Sadharan		 656.000000		 10.050000		 22.450001		 12
54894		 nashik		 pune		 Sinhagad		 106.000000		 10.050000		 21.450001		 61
34565		 delhi		 pune		 Rajya-Rani		 896.000000		 10.050000		 11.450001		 12
15672		 pune		 nashik		 Vivekgam		 106.000000		 10.050000		 03.450001		 32
78943		 pune		 bengal		 Gatiman		 406.000000		 12.050000		 06.450001		 23
34626		 mumbai		 pune		 Vande-Bharat		 106.000000		 23.049999		 01.450001		 16
63455		 delhi		 thane		 Humsafar		 886.000000		 10.450000		 20.450001		 23
89544		 nashik		 delhi		 Kavi-guru		 576.000000		 02.550000		 04.450001		 82
67898		 mumbai		 thane		 Deccanq		 786.000000		 10.500000		 11.450001		 28
54855		 delhi		 assam		 Rajdhani		 406.000000		 13.050000		 16.450001		 15
65242		 pune		 bengal		 Sampark		 206.000000		 23.049999		 05.450001		 23
35624		 nashik		 bengal		 IND-pune		 346.000000		 07.500000		 06.450001		 46
24657		 mumbai		 pune		 Duranto		 756.000000		 10.050000		 23.450001		 16
35611		 pune		 mumbai		 MAS-GHY		 356.000000		 14.050000		 21.450001		 49
25612		 delhi		 nagpur		 Madhurai		 546.000000		 08.050000		 10.450001		 15
35893		 pune		 mumbai		 Express		 253.000000		 06.050000		 07.450001		 14
26456		 assam		 pune		 Pragati		 156.000000		 09.050000		 23.450001		 16
56211		 pune		 thane		 Dibrugrah		 124.000000		 10.050000		 06.450001		 13
25612		 nashik		 nagpur		 Tejasha		 258.000000		 15.050000		 09.450001		 86
56123		 pune		 assam		 Konarkan		 669.000000		 19.049999		 08.450001		 16
10286		 assam		 goa		 DDN-TDD		 102.000000		 12.500000		 23.400000		 13
12231		 pune		 goa		 Aronaia		 132.000000		 12.300000		 12.600000		 12
11225		 assam		 chenn		 Udyanam		 250.000000		 12.560000		 01.000000		 24
12562		 pune		 bhopal		 Gangotri		 156.000000		 15.230000		 16.000000		 26
